JJSF
FRG
GMED
BLMN
HY
NBHC
PNR
LFVN
QLYS
BERY
OLN
PBYI
RLGY
SSTK
WDAY
AMBA
FANG
ICPT
RH
PCG
CHMG
NEO
PRTA
UIHC
ABBV
PBF
BFAM
TPH
CONE
LAND
FWONA
NCLH
BCC
ORC
AMSWA
RC
ZTS
INBK
XONE
APAM
MODN
ENTA
EVTC
HASI
PEP
SEAS
TMHC
TXMD
CMRX
HMTV
IBTX
AHH
ECOM
MO
VOYA
NRZ
PFSI
IQV
ARCT
AMBC
CUBI
EPZM
COP
NRC
PVH
TSC
BLUE
CDW
ESPR
GOGO
NDLS
NSTG
NWSA
NWS
PTCT
SAMG
COTY
GTT
AMGN
CWEN
DOC
REXR
SRC
AGIO
LIND
MRTX
AMH
IRT
MUSA
FI
ASC
FOXF
SFM
RNG
SAIC
AAOI
BNFT
FEYE
NVEE
ISEE
PINC
TCFC
XLRN
DOOR
AR
BRX
BURL
CHMI
CXP
CPS
ESRT
MMI
QTS
RMAX
OMF
VEEV
ESNT
AERI
COMM
FATE
GLPI
MGNX
SRNE
VCYT
CHGG
TCS
SLB
STAY
TWTR
ALLE
FRBA
HMHC
KPTI
LGIH
NMIH
TNDM
AMC
ARMK
CTT
UUUU
HLT
KIN
XNCR
OGS
ESI
SC
CARA
EIGR
DRNA
GLYC
ITCI
TACO
MBUU
RARE
CNCE
EGRX
FLXN
INGN
RVNC
VRNS
IBP
KN
LADR
GCI
ATEN
BRG
OUT
QUOT
QTWO
TNET
APOG
AKBA
NLTX
CVX
GOOG
BLBD
LE
PCTY
REPH
TWOU
ALLY
CIO
FPI
GRUB
MC
PAYC
AAPL
FIVN
NAVI
PAHC
PFIS
SABR
SPWH
ARES
HRTG
DNOW
ZEN
LPG
AGRX
BWFG
CTRE
FMBH
QTNT
SFBS
TBPH
TRUE
RYAM
TMST
CLNY
AMPH
ARDX
CBAY
GPRO
AMAT
INFO
RDUS
ANET
ASPN
CCS
VRTV
TSE
WMS
TREC
CTLT
PARR
SYF
TRUP
GLOB
OEC
ADVM
TKR
CDNA
HQY
ISTR
FWONK
LOCO
MRNS
TR
NERV
OCUL
SAGE
SPKE
XENT
RYI
LTRPA
VEC
CFG
AFMD
BCLI
CDK
KEYS
AVNS
KE
LBRDA
BGSF
BOOT
ENVA
GWB
HUBS
SNR
W
BSIG
LBRDK
ATRA
CALA
PLAY
SIEN
VBTX
NVRO
PGRE
STOR
AXTA
ADMA
CHRS
FFWM
FGEN
FRPT
MRO
AROW
SYNH
JYNT
EVFM
PRAH
TBK
UPLD
LC
NEWR
WK
CTSO
JRVR
UE
BOX
SHAK
VSTO
FNWB
DEA
AJX
NVTA
VMC
XHR
INOV
RCKT
IOVA
ATEX
NXRT
ENSV
SUM
SEDG
UNIT
BPMC
KALV
CRBP
ETSY
VIRT
VKTX
XBIT
GDDY
ASB
NSA
IGT
CWEN
APLE
CHCT
COLL
CABO
BLD
CC
ENR
SPNE
KHC
ALRM
APPF
LNTH
MCRB
PIRS
WING
EVH
GKOS
GNL
FL
ATRO
TRU
UNVR
PYPL
LITE
CHMA
RBNC
CYRX
LOB
MCFT
NTRA
OLLI
PVBC
RILY
RPD
Z
CCR
TXN
OOMA
SRG
TDOC
GNK
HLI
PLNT
GBT
PRPL
RUN
FLOW
PJT
CSWI
DSKE
RGNX
PEN
LIVN
HPE
ACBI
EXTN
FCPT
EIX
PFGC
PSTG
ABTX
AVXL
CTMX
WSC
TWNK
NVCR
SGRY
AC
SQ
AXSM
DLTH
EQBK
FGBI
KURA
MIME
MTCH
RMR
VYGR
WVE
AGR
OSG
OCX
SMBK
TEAM
WKHS
GCP
WBT
EDIT
NCBS
SNDX
VRAY
UA
BATRA
BATRK
LSXMA
LSXMK
AGLE
CDXC
GWRS
RRR
SCWX
VBIV
NGVT
MSBI
NTLA
PLSE
RETA
GMS
SITE
TPB
USFD
FTV
HONE
SELB
SYRS
ATKR
AZZ
GMRE
TWLO
TRTN
KDMN
VRS
KNSL
WTRH
PAVM
PI
TCMD
TPIC
ATOM
FHB
MEDP
PTGX
HOME
ASIX
DFIN
SMPL
CSTR
EVBG
FLGT
NTNX
TRHC
TTD
ELF
FBK
VVV
NTB
ADNT
YUMC
AA
BL
COUP
FRTA
IRTC
LW
GT
GOLF
ARCH
CWH
INSW
GTYH
MRKR
ATH
CNDT
HGV
PK
BPOP
IIPR
ORGO
ICHR
PVAC
VREX
BOH
JELD
UVV
NEX
REVG
ANAB
JNCE
CLPR
INVH
LAUR
NBEV
AYX
HSY
PUMP
ARD
AKTS
BYSI
IMXI
VRRM
HLNE
NODK
SNDR
OKTA
YEXT
HCC
CADE
CVNA
CLDR
EEX
FND
WTTR
PCSB
KR
BTU
GDP
KREF
CARS
WOW
APPN
FMAO
GTHX
OVID
SGH
URGN
VERI
VST
AM
SOI
BHVN
ATUS
BY
GPMT
PLYM
SAFE
MGY
ATNX
BOMN
ESQ
MRSN
NESR
SSTI
JBGS
TRTX
BHF
CLXT
CODX
KALA
PETQ
RBB
RDFN
TYME
DD
BPRN
ASPU
ACEL
DMTK
MBIO
FLMN
BKI
HBB
HFFG
DCPH
KRYS
ROKU
MAXR
PQG
SPCE
FOR
SWCH
CARG
MDB
EYE
CATC
FDBC
KIDS
MBIN
OPTN
PDLB
RYTM
CVS
ALTR
AQUA
CNNE
SAIL
SFIX
CEIX
FNKO
SPRO
ESTE
MCB
APLS
XFOR
BAND
CBTX
SBT
DNLI
NMRK
LILAK
LILA
AMEH
CASA
GIS
LBC
MVBF
ODT
QTRX
CURO
LXFR
VVNT
LBRT
ILPT
ADT
COLD
GTES
AVYA
AGS
CUE
SLDB
WHD
CLNC
VICI
PACK
CDLX
EOLS
LIVX
ZS
DBX
RFL
BTAI
BWB
TH
FIXX
OPBK
RCUS
ZUO
SPGI
EAF
NVT
BH
BFST
CLBK
AHCO
DOCU
GSHD
LASR
LEVL
CDAY
SMAR
CCK
WRB
KMB
SPOT
EQH
CPLG
EVOP
WH
GSKY
FCBP
INSP
BCML
ROAD
STXB
EVLO
EXPI
KNSA
OBNK
SRRK
UBX
AVLR
RVI
BJ
BV
AVRO
DOMO
EVER
IIIV
KZR
LOVE
MGTA
MGTX
OPRX
TBIO
TCDA
VRCA
XERS
EPRT
UGI
KDP
TENB
RUBY
ALLK
BE
FOCS
AFIN
BRY
CNST
CRNX
LQDA
PRVB
REPL
RPAY
SONO
CWK
ARLO
AMAL
AMTB
MESA
PCB
PAYS
ELAN
EB
FTDR
CW
SVMK
ARVN
BSGM
FVCB
GRTS
STRO
YMAB
UPWK
GH
ESTC
ALLO
LTHM
PLAN
REZI
LIN
ACA
YETI
ETRN
PG
SWI
AXNX
BFC
KOD
SIBN
STNE
TWST
VAPO
DELL
MRNA
CVET
ALEC
GOSS
HARP
SO
TCRR
ZYXI
FOXA
FOX
OSW
DSSI
CYCN
DOW
LYFT
SWAV
DTIL
CARE
WTRE
TW
PD
ZM
PINS
MNRL
CAT
MNSB
NGM
PLMR
SILK
TPTX
BYND
PSN
UBER
KTB
AVTR
FSLY
CTVA
APLT
CRTX
BCO
FRAF
IDYA
NXTC
RRBI
SPFI
TMDX
AMCR
CRWD
CL
WORK
GO
IAA
ADPT
BBIO
CHNG
AKRO
BCEL
CMBM
IMVT
KRTX
MORF
PSNL
REAL
STOK
AMK
MDLA
HCAT
PHR
PROS
NOVA
CSTL
FULC
IHRT
RMBI
XPEL
DT
CFB
VMD
TXG
NET
NVST
DDOG
PING
PNTG
CRNC
PTON
ALRS
IGMS
OPRT
SWTX
BRBR
PGNY
BRC
APRE
BRP
FREQ
HBT
MCBS
OYST
PHAT
RAPT
RLMD
VIR
BRMK
SI
ETNB
SITM
BILL
GRWG
SPT
FMC
DE
BMY
WBA
BA
IVZ
VVI
WEN
MTZ
SNV
RAMP
CR
CVBF
JEF
ABT
CACI
CALM
CRS
CAMP
CWT
AJRD
AAL
GCO
FOE
LMT
WRK
NEM
CAH
IP
CASY
EXC
CNP
IDA
PFE
EMR
JNJ
GLW
PPG
PPL
MMM
MRK
MSI
CMD
FE
CPK
CMS
EAT
CHD
CINF
WEC
TXT
CTAS
PEG
CIA
HAL
MDU
XEL
ETR
EVRG
AEP
NEE
ALE
ASH
EQT
OGE
CDE
PBI
COHR
NOC
AVA
AEE
CMA
CBSH
OKE
HSC
CPB
WHR
JCS
CAR
LHX
NFG
F
DOV
CMTL
DIS
BH
SJI
CTO
L
K
CSL
CLF
CTB
CUZ
CBRL
R
AVT
HPQ
BAX
CFR
DUK
XRX
PNW
NC
APD
MUR
VNO
HES
CTS
ALK
NBR
ARW
AIT
COHU
CMC
OMC
FLS
EML
HL
HEI
HP
HFC
HRL
HUBB
ATO
ENZ
ESCA
BOOM
MAS
FARM
NPK
NR
FITB
NUE
OXY
OXM
RF
PKE
CLGX
TRMK
MTB
FFBC
FMBI
ROG
ROL
SEB
SRCE
FHN
SHW
SCL
FSTR
FELE
BEN
FUL
WEYS
AJG
WMB
SPB
GNTX
WFC
NI
SKY
SMP
APA
MAT
GGG
BDX
B
GTN
WY
DXC
IFF
DBD
TJX
CMI
HE
AMOT
HVT
HWKN
HCSG
PH
HELE
IIN
WMK
PKI
WWW
HNI
NEU
SJM
MDP
JBHT
HBAN
HURC
ATI
SWK
MCD
SXI
VFC
IHC
KMT
ES
TFX
AVY
ADP
TILE
CVM
DIOD
IDCC
JCI
IVC
MMC
SWKS
WSO
SFE
GFF
CLX
GPC
CBT
HST
KLAC
RAD
KAMN
KELYA
NYT
EBF
CNA
CBB
FSS
KBAL
ABM
SGC
JPM
TGNA
LZB
LRCX
MCO
LANC
HUM
UNP
LAWS
LNC
TGT
ALX
HRB
DDS
BK
DHR
PCH
RRC
LEE
TPC
TDW
MGEE
LLY
SMTC
WGO
MTW
TER
MCS
SCI
MLP
SYY
MKC
RHI
GENC
J
THC
WRE
EFX
GWW
LEN
HRC
MCY
HAS
IPG
MLAB
BMI
MEI
GHC
SIEB
GRC
MU
MSEX
MLHR
PHM
SJW
MSA
AIR
MOD
TRN
MNR
SPXC
PNM
MTRN
WMT
NSSC
LPX
CAG
ITW
NWLI
BRT
NATR
TRC
GLT
BLL
NKE
VSH
NDSN
JWN
AFL
VXRT
NTRS
TEX
NWN
FRT
GPX
LUV
RBC
LNT
NEWT
OII
GPS
KEX
AXP
ODC
TAP
UDR
INTC
ORI
BAC
TRV
SXT
VIRC
OLP
LDL
MDT
OTTR
OMI
SNA
PNC
GHM
PCAR
TTC
FDX
AFG
ADI
LEG
NWL
PAR
SWX
AMD
PKOH
DCI
LOW
PATK
BIO
HXL
PAYX
AON
DLX
BKH
RAVN
TMO
CSX
BXMT
GL
PDCE
GTY
WST
AGYS
DCO
BRO
NRT
POWL
SWN
TDS
CI
CHE
LB
NSC
PGR
NJR
PSA
PCYO
AGX
STZ
KWR
D
NXGN
KEY
RLI
UNF
RPM
MYE
AOS
COO
USLM
TISI
VZ
T
USB
HD
MDC
SLM
WSO
WDC
RES
AIG
ITI
UTL
BIG
PEAK
RGLD
CMO
WRI
SEIC
SIGI
WTM
REX
MS
SBCF
RJF
STZ
HOG
KBH
BDN
TOL
C
ECL
EQC
UNM
SON
Y
AWR
TFC
INS
STAA
NHC
STT
UHT
STC
SF
SYK
RGR
SSY
VOXX
BKR
INT
VIACA
ABMD
CCL
MBI
PII
SCHW
VGR
PXD
DX
AB
MAN
USM
DRE
MTH
RPT
TNC
MIDD
ADBE
MRTN
NBN
ODP
IEX
CRUS
FRME
NLOK
TG
CGNX
TECH
ISDR
VTR
EOG
EA
DGII
STAR
ZIXI
LSCC
IMGN
GIII
GSBC
PTC
NEOG
HALL
BLFS
CSCO
THO
COG
HOLX
JOE
VICR
GVA
KMPR
TYL
XLNX
BHE
VIAC
TRMB
EXPO
PRK
MTRX
AN
MMSI
VERU
ESE
CATY
CVA
NRIM
MLI
DORM
QDEL
PSB
AZO
REGN
X
IONS
RDNT
HWC
LCUT
ATGE
IDXX
RGS
AES
CRVL
STFC
DIN
ALKS
VRTX
MNRO
PRGS
TVTY
ZBRA
EZPW
MTG
HAE
PRA
FIZZ
BIIB
FCFS
AAON
BOKF
STRL
TRNS
NTN
ODFL
NHI
ATNI
WRLD
WNC
HMN
KIM
OI
JBSS
AMSC
QCOM
PRGO
TTEK
WETF
OFC
GILD
MSON
SMG
ROP
SCHL
SNPS
ELY
THFF
NBTB
ICUI
JACK
M
MHK
CNR
ASUR
TRST
AGCO
RNST
STBA
BKE
ARCB
BSX
KSS
OLED
USPH
FC
FCF
STE
BBBY
CACC
DHI
COLB
FCEL
SBUX
TSN
CENT
WIRE
STRS
OHI
LTC
CAKE
ASGN
LFUS
BLX
MTX
PDCO
RDN
UFI
KAI
LGND
SM
UVE
OPY
DDD
UFCS
OFIX
SPNS
UMBF
IAC
CREE
CRY
NATH
PEBO
RCKY
UEIC
SITC
ELS
ALG
AVID
CHS
INTU
LSTR
MCHP
SCVL
SYBT
CHDN
SGA
ETH
CB
BANF
FOSL
JBL
ORLY
SANM
TCBK
ATR
RCL
ANIK
GABC
RGA
HR
AKR
RIG
SKT
THRM
BBSI
PZZA
ALL
SGMS
AZN
TALO
CPT
WINA
MCRI
BWA
EQR
BFS
CASH
MOV
UHS
BDC
ATVI
DECK
IT
QCRH
RVSB
AUB
BYD
LXP
UTMD
REG
NVR
CNTY
FFIN
ITRI
FWRD
OSBC
PTEN
NYCB
ROCK
VSEC
SCHN
UFPI
VIAV
URBN
INCY
MHO
CMCT
SHOO
UFPT
MED
ARWR
VLY
EMN
SPG
SUI
VMI
HAIN
AGM
VALU
MAA
ALB
BZH
MLM
RYN
BPFH
DAKT
DSPG
TSCO
RGCO
BCRX
CPRT
MPAA
NNBR
SCSC
ZEUS
AVB
MAC
ADC
EXP
AEO
SMBC
ABCB
NKTR
PENN
SSD
IMAX
LJPC
ESS
FR
HIW
AIV
GBX
MATW
GEO
CLI
ADTN
AMED
MLR
VLGEA
RS
SIRI
DAR
AZPN
USX
O
COF
MCK
UHAL
NWBI
VECO
NSIT
RCII
BRKS
ACIW
WDFC
DLTR
NATI
ABC
WAFD
CBZ
COOP
CWCO
HLIT
DRI
SYX
HA
LSI
WAB
LECO
DISH
RMD
SBGI
FCX
SVC
WABC
IART
KFRC
RWT
NOVT
MD
ACGL
SENEA
THG
RE
DVA
ERIE
MYGN
POOL
RICK
CCF
AEIS
OPK
FFIC
BANR
HSIC
NTAP
NWPX
MLSS
SAM
EL
SWM
WAT
TGTX
CTXS
EME
AMRX
NUAN
HIG
MSM
NVAX
SCCO
REV
WSM
ALXN
ANDE
CMCO
CSGS
IRM
LNDC
OVBC
GEF
CENX
GEF
HUBG
TCX
KVHI
EPM
SASR
SYKE
TUP
ARTNA
FCN
NBIX
PFBI
FDS
WOR
ANSS
CNOB
CASI
TBI
QGEN
RUSHB
RNR
WHLM
CASS
GERN
OCFC
PEGA
STRA
DCOM
GES
MMAC
CSV
LAMR
SRCL
TTEC
SPPI
WLFC
ANF
GTN
USNA
NOV
TGI
PAG
BJRI
HIBB
ZION
NUS
SSP
AXDX
FORR
PLUS
SEAC
STLD
UNFI
LAD
VSAT
NCR
DGX
TEN
ROK
NSP
CMT
SSB
KRC
UNTY
WWD
CERS
HLIO
VCEL
CCBG
CIEN
SLGN
MTN
EEFT
WTFC
LNG
CVLY
FBC
TTWO
ARE
APH
KNL
AMZN
RMBS
SRPT
PPBI
QRVO
SLP
BXP
FIX
MMS
RL
EGP
HLX
DXPE
EGHT
HSKA
OZK
CXW
JLL
AME
BAM
SLG
VLO
LKFN
BHB
NAT
YUM
MTOR
FARO
PLCE
PSMT
SIGA
NLY
CAC
DRQ
RHP
GPI
SRI
FDP
CHRW
CWST
OSIS
CHH
CDZI
PLD
AMG
EPR
MTD
SAH
ADSK
INGR
MPB
URI
POWI
PRDO
CFFI
DENN
HFWA
MRCY
HOPE
RMTI
TSBK
VRSN
WPC
IESC
BXS
PWR
SCS
BRKL
COLM
IBOC
NWFL
CNXN
SRDX
CIX
GRA
MAR
BBY
SEE
MFA
HEI
CRAI
MANH
UMPQ
IOSP
AMKR
HCKT
AXTI
GNTY
SBSI
CLAR
AMT
BMTC
HZO
SRE
DOX
CTSH
MSTR
RSG
BELFB
RBCAA
CSGP
HTBK
UBA
CCI
EBAY
BUSE
CCNE
PB
FNHC
INO
SNBR
BCOR
AXL
HT
FCAP
GDEN
NVDA
STL
GBL
KFY
EPAY
EWBC
MKSI
BKNG
CNX
TREX
AMNB
DHIL
CFFN
EXTR
HSII
GS
WCC
NLS
CBU
SKX
FFIV
FISI
JNPR
SBAC
STMP
UTHR
BSRR
LII
GNSS
COST
BMRN
FNLC
GCBC
JCOM
ECPG
MDRX
VHC
PRFT
MBWM
DVN
FLWS
NTCT
EGAN
BLK
CIR
DHC
AKAM
EGBN
GAIA
PLUG
WWE
IMMR
LCII
KTOS
A
EVI
TDY
UPS
BMRC
BGCP
MCBC
NKSH
PKG
AGEN
LBAI
ABEO
EW
EPC
EXPD
IIIN
LMNX
SLAB
APT
MET
GBCI
MNST
CCMP
EXEL
HSTM
LXRX
LPSN
ON
SGMO
FULT
OSPN
RBBN
BHLB
CRL
CYH
VC
PACW
INSM
ISRG
MRVL
NNN
ACLS
ARNA
ENDP
ENTG
ILMN
SAVA
PRPO
EVC
BRKR
APPS
SPTN
ITGR
DRRX
TTMI
TPR
JKHY
SHEN
ICAD
INSG
RIGL
PGC
GRMN
HBIO
FLR
YORW
ALGN
EXAS
HAFC
MCF
GPN
MPX
OIS
ATRS
IBCP
FLO
FCBC
SGEN
DGICA
CIVB
SHBI
UBFO
IDT
ADS
FIS
MDLZ
WLTW
NTUS
EVBN
PDFS
ZBH
ACN
MFNC
OMCL
OVV
BG
FRO
PLPC
CS
MKC
CCRN
ANTM
PFG
PWOD
AMN
AYI
AAP
WW
PRU
WNEB
CNC
FCCY
SYNA
CCOI
GME
MANT
UCBI
ABG
JBLU
LCI
CPSI
NFLX
OSTK
PNFP
VRNT
NPO
ELOX
HOFT
WTBA
WHG
BDSI
CVGW
RRGB
RUSHA
LYTS
BANC
SAIA
KMX
XEC
CMCSA
WYNN
DKS
CEVA
PKBK
PRAA
SAFT
ACTG
EQIX
GLNG
CME
PFS
NVEC
LEN
HTLF
OPHC
FORM
NHS
MOH
AXS
TELL
CVCO
NTGR
GPK
GOOD
TCBI
UVSP
CNO
LKQ
ANIP
CRI
APYX
SNX
WLL
CONN
MRLN
MGRC
NXST
XPER
DZSI
MEIP
AEL
CMP
KRO
NNI
NG
PIPR
TPX
MGLN
PETS
DVAX
ONCT
HTH
AIZ
NRG
CUTR
CVCY
SBNY
SBRA
UCTT
SVRA
ABR
AGO
CORT
CYTK
GNW
GHL
XPO
ACAD
ALNY
ANGO
NUVA
SP
CBRE
NYMT
CRM
SFL
BOCH
DPZ
ENS
BLKB
MNKD
ACC
CNS
EXR
KRG
WLK
GOOGL
STXS
BECN
SFST
DLR
ONTO
MOS
SHO
CUBE
ADES
HURN
INVA
TXRH
HALO
NP
ORA
MKTX
MPWR
NWE
SPOK
ATLO
TBBK
LVS
MIC
HLF
CE
WTI
CZNC
SMMF
DLB
HUN
TAP
PBH
WEX
EBTC
EFSC
KRNY
NDAQ
PFBC
MTEM
ULH
AX
PBIP
DXCM
DRH
LAZ
CTRN
MORN
ZUMZ
ATSG
BFIN
BLDR
EGLE
LHCG
DBI
FSP
OSK
THS
WAL
MPW
CNSL
DISCA
EXPE
ACCO
CF
STN
ATRC
OFLX
ROLL
RUTH
AMP
EVRI
CMPR
FNF
DHT
FBIZ
ISBC
WSBF
AMSF
IRBT
SPWR
UAA
PEBK
BKD
ICE
BCBP
CORE
LORL
LYV
CPA
CMG
HEES
CROX
LQDT
UAL
KOP
TDG
GPRE
VNDA
POR
DK
MA
MWA
VG
AAWW
FBMS
QRTEA
PRTK
ATEC
HOMB
LUNA
SLCT
PGTI
CSII
SNCR
GTLS
KALU
EVR
HBI
ESXB
WU
CVLT
ICFI
ZIOP
EHTH
EXLS
LMAT
AWI
DEI
OC
LDOS
ROST
EBS
HRI
KBR
SPR
CPRX
FSLR
ORBC
WLDN
AIMC
ALGT
GLDD
IPGP
MNOV
TAST
SBH
EIG
AVAV
III
CORR
ARAY
CENTA
ESGR
NCMI
PRTS
MDGL
BR
UFS
SFNC
HAYN
CNK
DAL
TMUS
ESSA
TFSL
ACM
BGS
CAI
CLR
TRS
ALBO
CLNE
FOLD
GLRE
IBKR
PODD
TTGT
GRBK
INFN
JAZZ
LLNW
SCOR
TIPT
DFS
PRO
DHX
LULU
MASI
AROC
VMW
G
TDC
UEC
TOWN
ULTA
CVI
ROIC
PZN
TGH
SHIP
CIM
LL
MSCI
SCU
APEI
ENSG
NFBK
ATHX
CATM
SATS
TITN
ARR
FLNT
LRN
KW
GTS
EBSB
DAN
HCCI
MOFG
IRDM
HI
PM
V
AWK
IPI
NX
CFX
UNH
SB
AGNC
CAPR
UMH
JBT
ERII
PRIM
TREE
DISCK
HCI
MYRG
DMRC
HBCP
LOPE
CLW
VRTS
OVLY
ORRF
SMED
OPI
IVR
PMT
ASPS
TBNK
STWD
AVGO
ARI
SEM
MG
TWO
ADUS
ECHO
OMER
VRSK
DG
H
LEA
COWN
FTNT
CIT
KAR
KRA
PEB
PPC
MSGN
GNRC
PDM
TRNO
CELH
IRWD
QNST
CALX
MXL
ST
STNG
FIBK
SSNC
CLDT
PRI
AOSL
CDXS
SPSC
RCM
CRMD
PLOW
EXPR
FAF
LMNR
HPP
SIX
VPG
FN
CBOE
TSLA
